acc_x	acc_y	acc_z	mag	dif_x	dif_y	dif_z	diff_mag
0.03	-0.09	1.10	1.10	1188.80	724.00	795.20	1603.05	
0.04	-0.10	1.09	1.10	1044.80	653.60	1006.40	1591.11	
0.04	-0.10	1.08	1.09	1008.80	574.40	950.40	1500.29	
0.04	-0.10	1.08	1.09	1008.80	740.80	968.00	1582.24	
0.05	-0.09	1.08	1.09	1105.60	847.20	952.00	1687.13	
0.06	-0.09	1.09	1.10	1081.60	847.20	956.80	1674.24	
0.08	-0.08	1.09	1.10	1103.20	758.40	956.80	1645.51	
0.10	-0.08	1.10	1.11	534.40	671.20	652.00	1077.59	
0.12	-0.08	1.10	1.11	380.80	671.20	606.40	981.45	
0.12	-0.07	1.11	1.12	380.80	849.60	711.20	1171.59	
0.12	-0.06	1.11	1.12	386.40	849.60	711.20	1173.43	
0.12	-0.06	1.11	1.12	386.40	706.40	711.20	1074.30	
0.12	-0.06	1.12	1.13	327.20	714.40	584.80	979.50	
0.12	-0.06	1.12	1.13	327.20	714.40	552.80	960.74	
0.11	-0.07	1.12	1.13	331.20	480.00	494.40	764.54	
0.11	-0.07	1.12	1.13	439.20	496.80	505.60	833.87	
0.10	-0.07	1.12	1.12	441.60	496.80	557.60	867.61	
0.10	-0.08	1.12	1.12	441.60	556.00	557.60	902.81	
0.09	-0.08	1.12	1.12	281.60	556.00	557.60	836.27	
0.09	-0.08	1.12	1.12	265.60	412.80	519.20	714.50	
0.08	-0.09	1.12	1.13	367.20	459.20	519.20	784.39	
0.08	-0.10	1.12	1.13	364.00	755.20	519.20	986.10	
0.08	-0.11	1.12	1.13	364.00	755.20	597.60	1029.54	
0.08	-0.11	1.12	1.13	440.80	762.40	597.60	1064.28	
0.08	-0.12	1.11	1.12	382.40	722.40	469.60	942.66	
0.08	-0.11	1.11	1.12	460.00	854.40	496.00	1089.78	
0.09	-0.11	1.12	1.13	387.20	854.40	518.40	1071.76	
0.09	-0.11	1.12	1.13	387.20	888.80	597.60	1138.87	
0.09	-0.13	1.11	1.12	420.80	997.60	702.40	1290.60	
0.10	-0.14	1.11	1.12	622.40	751.20	696.80	1198.84	
0.11	-0.12	1.11	1.12	503.20	1399.20	732.00	1657.35	
0.12	-0.09	1.12	1.13	422.40	1247.20	946.40	1621.60	
0.12	-0.08	1.13	1.13	422.40	1247.20	914.40	1603.14	
0.12	-0.08	1.12	1.13	398.40	1116.80	964.80	1528.66	
0.13	-0.09	1.12	1.13	336.80	1249.60	964.80	1614.24	
0.13	-0.09	1.11	1.13	380.80	1015.20	964.80	1451.37	
0.13	-0.09	1.11	1.13	392.00	1088.80	946.40	1494.93	
